z, Pressure_0, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Annular_Density, Annular_Velocity, Annular_Temperature, 
0.0110526, 1.00009e+06, 0.144721, 1173, 1173, 0.0465412, 0.181339, 1.22813e-17, 0.234774, 0.0508618, 0.486446, 2.35257e-05, 0.250001, 0.00179567, 7.31923e-10, 0.00203019, 2.99182e-05, 0.419966, 7.98074e-05, 8.81267e-07, 3.30597e-10, 2.60497e-12, 2.075e-10, 5.29737e-11, 8.73917e-08, 0.326097, 0.0206708, 0.130571, 1173, 
0.0121053, 1.00008e+06, 0.141397, 1173, 1173, 0.0416363, 0.186242, 1.22786e-17, 0.242846, 0.0498248, 0.479515, 2.36069e-05, 0.247521, 0.00179608, 6.59182e-10, 0.0020147, 3.11274e-05, 0.424418, 7.95113e-05, 9.05479e-07, 3.40469e-10, 2.45458e-12, 1.88125e-10, 4.83152e-11, 9.05657e-08, 0.324139, 0.0206708, 0.143538, 1173, 
0.0131579, 1.00007e+06, 0.140031, 1173, 1173, 0.0372251, 0.190215, 1.2376e-17, 0.250894, 0.0486358, 0.473134, 2.36914e-05, 0.24505, 0.00180688, 5.9458e-10, 0.00200555, 3.24211e-05, 0.428427, 7.95689e-05, 9.23018e-07, 3.48978e-10, 2.31711e-12, 1.70822e-10, 4.41746e-11, 9.38335e-08, 0.322598, 0.0206708, 0.156319, 1173, 
0.0142105, 1.00006e+06, 0.13656, 1173, 1173, 0.0331833, 0.193306, 1.25473e-17, 0.258877, 0.0472816, 0.466686, 2.37477e-05, 0.242547, 0.00182636, 5.36152e-10, 0.00200109, 3.38163e-05, 0.432133, 7.99078e-05, 9.35178e-07, 3.56434e-10, 2.18861e-12, 1.5508e-10, 4.04161e-11, 9.72396e-08, 0.321377, 0.0206708, 0.168875, 1173, 
0.0152632, 1.00005e+06, 0.135107, 1173, 1173, 0.0296295, 0.195878, 1.2827e-17, 0.267238, 0.0459323, 0.461606, 2.38559e-05, 0.240087, 0.00185455, 4.84156e-10, 0.00200174, 3.52844e-05, 0.435428, 8.05352e-05, 9.4124e-07, 3.6254e-10, 2.0689e-12, 1.4097e-10, 3.70486e-11, 1.00703e-07, 0.320512, 0.0206708, 0.181174, 1173, 
0.0163158, 1.00004e+06, 0.131571, 1173, 1173, 0.0262606, 0.19776, 1.31593e-17, 0.275676, 0.0444306, 0.455918, 2.39173e-05, 0.23754, 0.00188965, 4.35157e-10, 0.00200495, 3.68867e-05, 0.438605, 8.13587e-05, 9.43797e-07, 3.68016e-10, 1.95187e-12, 1.27598e-10, 3.38488e-11, 1.04377e-07, 0.319841, 0.0206708, 0.193184, 1173, 
0.0173684, 1.00003e+06, 0.13013, 1173, 1173, 0.0234194, 0.198706, 1.35847e-17, 0.283721, 0.0429453, 0.451222, 2.40057e-05, 0.235145, 0.00193318, 3.93788e-10, 0.0020135, 3.85087e-05, 0.441225, 8.2466e-05, 9.39772e-07, 3.71761e-10, 1.84624e-12, 1.16192e-10, 3.11154e-11, 1.07963e-07, 0.319562, 0.0206708, 0.204886, 1173, 
0.0184211, 1.00002e+06, 0.126556, 1173, 1173, 0.0204411, 0.199699, 1.40694e-17, 0.292986, 0.0413311, 0.445747, 2.40674e-05, 0.232473, 0.00198262, 3.49359e-10, 0.00202177, 4.03781e-05, 0.444107, 8.36852e-05, 9.35253e-07, 3.75765e-10, 1.73092e-12, 1.03937e-10, 2.81488e-11, 1.12012e-07, 0.31929, 0.0206708, 0.216244, 1173, 
0.0194737, 1.00001e+06, 0.125281, 1173, 1173, 0.018506, 0.199147, 1.46324e-17, 0.299958, 0.0398987, 0.442113, 2.41418e-05, 0.230332, 0.00203893, 3.21339e-10, 0.00203732, 4.20325e-05, 0.445881, 8.51909e-05, 9.22237e-07, 3.76858e-10, 1.64792e-12, 9.60127e-11, 2.62426e-11, 1.15422e-07, 0.319583, 0.0206708, 0.227278, 1173, 
0.0205263, 1e+06, 0.121441, 1173, 1173, 0.0152596, 0.199239, 1.53758e-17, 0.312262, 0.0379328, 0.435516, 2.42252e-05, 0.227092, 0.0021134, 2.70812e-10, 0.00205118, 4.45337e-05, 0.448907, 8.70276e-05, 9.10123e-07, 3.79785e-10, 1.50653e-12, 8.19907e-11, 2.27755e-11, 1.20522e-07, 0.319704, 0.0206708, 0.23786, 1173, 
